,sequence,start,end
15405,Q06671,1,75
15406,Q06671,89,453
15407,Q06674,1,167
15408,Q06674,337,414
15409,Q06675,24,186
15410,Q06678,1,112
15411,Q06681,1302,1438
15412,Q06683,597,689
15413,Q06685,1,94
15414,Q06695,1,107
15415,Q06698,32,201
15416,Q06702,1,97
15417,Q06703,1,107
15418,Q06715,1,87
15419,Q06716,1,129
15420,Q06717,1,83
15421,Q06717,101,280
15422,Q06718,1,83
15423,Q06718,101,280
15424,Q06805,594,686
15425,Q06806,592,682
15426,Q06809,68,152
15427,Q06810,228,316
15428,Q06813,1,262
15429,Q06813,276,372
15430,Q06820,1,129
15431,Q06820,156,286
15432,Q06834,173,288
15433,Q06885,18,112
15434,Q06891,1,181
15435,Q06910,125,199
15436,Q06923,231,349
15437,Q06988,1,140
15438,Q06990,75,207
15439,Q06A37,1,157
15440,Q06FN2,349,537
15441,Q06FN4,231,322
15442,Q06GT4,1494,1628
15443,Q06GT4,1894,2057
15444,Q06GT4,2072,2302
15445,Q06J46,1,262
15446,Q06J46,314,605
15447,Q06J46,617,758
15448,Q06J46,770,885
15449,Q06R72,1461,1546
15450,Q06RB0,150,231
15451,Q06SH2,1,147
15452,Q06SH2,161,426
15453,Q06SH2,444,684
15454,Q06SH2,703,778
15455,Q06SH2,1030,1231
15456,Q06SH2,1246,1548
15457,Q06SH2,1830,1944
15458,Q06SH2,1960,2127
15459,Q06SH2,2144,2272
15460,Q06SH2,2384,2492
15461,Q06SH2,2572,3012
15462,Q06SH2,3154,3442
15463,Q06SH2,3455,3618
15464,Q06SH2,3631,3707
15465,Q06SJ3,348,527
15466,Q06SJ3,542,629
15467,Q06SJ3,648,740
15468,Q06SJ3,746,977
15469,Q06SJ3,1062,1162
15470,Q06SJ3,1182,1258
15471,Q06SJ3,1302,1646
15472,Q06SJ3,1667,2134
15473,Q06SJ3,2201,2289
15474,Q06SJ3,2386,2467
15475,Q06SJ3,2580,2789
15476,Q06VC2,1,177
15477,Q06VC2,589,974
15478,Q06VD3,23,228
15479,Q06VD4,1,93
15480,Q06VD4,140,233
15481,Q06VD5,1,95
15482,Q06VD5,144,266
15483,Q06VD9,1,158
15484,Q06VD9,187,264
15485,Q06VD9,294,410
15486,Q06VN8,1,378
15487,Q06VN8,390,528
15488,Q06VN8,554,803
15489,Q06VN8,811,977
15490,Q07048,1,145
15491,Q07048,538,877
15492,Q07092,15,100
15493,Q07093,1,90
15494,Q07097,404,504
15495,Q07113,2363,2483
15496,Q07116,1,84
15497,Q07163,165,400
15498,Q07163,480,638
15499,Q07286,57,153
15500,Q07344,1,137
15501,Q07349,1,129
15502,Q07349,180,420
15503,Q07351,128,228
15504,Q07362,63,185
15505,Q07384,1,188
15506,Q07384,209,346
15507,Q07385,1,145
15508,Q07454,1,164
15509,Q07454,179,421
15510,Q07454,542,679
15511,Q07454,701,984
15512,Q07458,1,139
15513,Q07509,83,169
15514,Q07518,370,661
15515,Q07518,893,1024
15516,Q07533,68,179
15517,Q07533,195,344
15518,Q07533,360,475
15519,Q07533,713,885
15520,Q07535,1,109
15521,Q07541,23,107
15522,Q07555,1,169
15523,Q07555,187,291
15524,Q07602,24,102
15525,Q07605,1,215
15526,Q07605,558,637
15527,Q07613,27,109
15528,Q07630,340,518
15529,Q07630,531,730
15530,Q07635,26,130
15531,Q07635,545,626
15532,Q07649,93,183
15533,Q07653,1,190
15534,Q07653,203,696
15535,Q07653,712,950
15536,Q07655,1,163
15537,Q07658,1,90
15538,Q07730,74,271
15539,Q07732,1,77
15540,Q07732,88,231
15541,Q07732,329,559
15542,Q07736,685,810
15543,Q07737,98,197
15544,Q07738,1,123
15545,Q07762,1,151
15546,Q07791,115,576
15547,Q07793,165,400
15548,Q07793,480,638
15549,Q07799,1,129
15550,Q07799,143,449
15551,Q07804,1,168
15552,Q07807,45,157
15553,Q07829,1,82
15554,Q07833,12,534
15555,Q07833,1199,1288
15556,Q07836,1,142
15557,Q07865,26,126
15558,Q07872,160,247
15559,Q07873,1,77
15560,Q07881,33,127
15561,Q07886,371,521
15562,Q07887,1,179
15563,Q07921,1,160
15564,Q07927,23,99
15565,Q07929,369,454
15566,Q07950,1,140
15567,Q07967,1,263
15568,Q07970,1,305
15569,Q07978,59,186
15570,Q07981,141,305
15571,Q07NJ3,232,330
15572,Q08002,17,156
15573,Q08014,1,217
15574,Q08014,233,514
15575,Q08014,529,772
15576,Q08018,1,140
15577,Q08103,283,388
15578,Q08110,1,111
15579,Q08118,77,270
15580,Q08118,289,478
15581,Q08118,497,586
15582,Q08119,1,218
15583,Q08119,324,714
15584,Q08142,1,99
15585,Q08142,263,356
15586,Q08143,1,125
15587,Q08171,293,433
15588,Q08172,1,172
15589,Q08187,1,77
15590,Q08187,96,201
15591,Q08206,82,222
15592,Q08206,237,338
15593,Q08206,352,761
15594,Q08207,1,100
15595,Q08210,1,120
15596,Q08215,27,331
15597,Q08216,41,224
15598,Q08217,52,167
15599,Q08222,1,106
15600,Q08223,1,115
15601,Q08223,120,395
15602,Q08226,1,125
15603,Q08229,1,227
15604,Q08229,308,399
15605,Q08229,426,501
15606,Q08241,1,75
15607,Q08259,1,102
15608,Q08263,1,83
15609,Q08268,1,76
15610,Q08270,1,84
15611,Q08287,89,229
15612,Q08287,329,484
15613,Q08300,1,171
15614,Q08316,1,367
15615,Q08321,1,113
15616,Q08354,24,162
15617,Q08354,310,453
15618,Q08355,24,162
15619,Q08355,313,456
15620,Q08356,155,297
15621,Q08358,45,222
15622,Q08358,237,1397
15623,Q08358,1412,1612
15624,Q08358,1625,2342
15625,Q08370,100,192
15626,Q08398,162,261
15627,Q08400,485,666
15628,Q08401,1,90
15629,Q08411,59,143
15630,Q08416,13,157
15631,Q08419,1,115
15632,Q08430,1,107
15633,Q08439,1,144
15634,Q08471,1,161
15635,Q08471,173,259
15636,Q08471,330,444
15637,Q08471,479,629
15638,Q08486,1,104
15639,Q08490,196,285
15640,Q08501,486,608
15641,Q08503,1,116
15642,Q08521,1,101
15643,Q08522,1,113
15644,Q08532,1,75
15645,Q08534,26,251
15646,Q08534,415,503
15647,Q08534,1005,1126
15648,Q08534,1139,1239
15649,Q08534,1392,1702
15650,Q08534,1816,2013
15651,Q08534,2025,2241
15652,Q08534,2512,2603
15653,Q08539,1,168
15654,Q08539,475,553
15655,Q08540,1,154
15656,Q08543,1,101
15657,Q08544,39,180
15658,Q08548,536,619
15659,Q08550,78,464
15660,Q08559,1,129
15661,Q08560,1,144
15662,Q08562,1,252
15663,Q08580,1,124
15664,Q08580,145,319
15665,Q08581,1,78
15666,Q08581,92,517
15667,Q08581,537,699
15668,Q08600,1,89
15669,Q08604,1,109
15670,Q08620,1,132
15671,Q08622,471,556
15672,Q08630,19,104
15673,Q08641,1,81
15674,Q08641,261,337
15675,Q08646,45,260
15676,Q08675,1,166
15677,Q08675,253,572
15678,Q08678,270,373
15679,Q08692,1,183
15680,Q08696,203,277
15681,Q08729,1,390
15682,Q08734,17,132
15683,Q08756,1,102
15684,Q08759,547,624
15685,Q08775,1,79
15686,Q08786,1,90
15687,Q08786,105,185
15688,Q08789,1,138
15689,Q08793,1,78
15690,Q08811,1,116
15691,Q08818,1,692
15692,Q08842,1,122
15693,Q08872,1,117
15694,Q08875,1,184
15695,Q08875,744,886
15696,Q08876,749,863
15697,Q08882,1,86
15698,Q08886,1,82
15699,Q08886,784,897
15700,Q08887,1,76
15701,Q08887,113,446
15702,Q08893,597,680
15703,Q08900,17,122
15704,Q08903,1,112
15705,Q08909,1,290
15706,Q08915,1,147
15707,Q08916,1,105
15708,Q08926,96,304
15709,Q08927,1,131
15710,Q08932,1,224
15711,Q08932,275,354
15712,Q08953,1,137
15713,Q08955,1,156
15714,Q08956,85,461
15715,Q08957,223,416
15716,Q08967,706,793
15717,Q08970,1,89
15718,Q08981,1,77
15719,Q08981,93,209
15720,Q08AX9,1,127
15721,Q08B84,507,687
15722,Q08BW0,479,560
15723,Q08C72,1,77
15724,Q08C72,828,918
15725,Q08CM4,92,184
15726,Q08CY9,1,130
15727,Q08JR8,16,108
15728,Q09057,1,150
15729,Q09057,393,497
15730,Q09094,75,180
15731,Q09101,168,251
15732,Q09103,254,353
15733,Q09165,2663,2881
15734,Q09165,4212,4329
15735,Q09165,4716,5112
15736,Q09165,6038,6113
15737,Q09165,7383,7489
15738,Q09165,8175,8264
15739,Q09165,8700,8799
15740,Q09165,9920,10025
15741,Q09165,11886,12011
15742,Q09165,12247,12351
15743,Q09165,12911,12985
15744,Q09173,299,414
15745,Q09180,1,159
15746,Q09215,1,87
15747,Q09216,742,895
15748,Q09220,1,224
15749,Q09223,51,293
15750,Q09225,1,111
15751,Q09228,33,196
15752,Q09230,69,212
15753,Q09231,1,166
15754,Q09231,182,281
15755,Q09231,305,570
15756,Q09234,1,143
15757,Q09239,1,174
15758,Q09256,1,150
15759,Q09259,1,79
15760,Q09259,904,1025
15761,Q09262,1,127
15762,Q09264,20,369
15763,Q09267,49,435
15764,Q09268,158,430
15765,Q09268,471,610
15766,Q09271,122,250
15767,Q09274,1,99
15768,Q09279,106,256
15769,Q09281,1,799
15770,Q09281,820,971
15771,Q09282,1,182
15772,Q09282,196,280
15773,Q09283,16,93
15774,Q09293,96,197
15775,Q09293,208,367
15776,Q09299,654,738
15777,Q09302,13,117
15778,Q09302,168,428
15779,Q09303,141,224
15780,Q09313,1,545
15781,Q09313,827,923
15782,Q09314,93,446
15783,Q09314,552,759
15784,Q09317,1,452
15785,Q09320,1,141
15786,Q09337,106,189
15787,Q09338,1,192
15788,Q09340,20,111
15789,Q09348,1,92
15790,Q09348,130,398
15791,Q09351,1,182
15792,Q09351,200,363
15793,Q09352,1,124
15794,Q09353,1,233
15795,Q09353,246,354
15796,Q09353,372,459
15797,Q09356,1,77
15798,Q09356,155,276
15799,Q09358,118,202
15800,Q09358,222,360
15801,Q09360,1,127
15802,Q09366,1,117
15803,Q09366,138,336
15804,Q09367,1,134
15805,Q09368,17,162
15806,Q09370,1,331
15807,Q09372,282,393
15808,Q09372,404,655
15809,Q09375,1,121
15810,Q09377,1,190
15811,Q09378,1,284
15812,Q09380,15,196
15813,Q09382,1,216
15814,Q09383,1,249
15815,Q09399,31,125
15816,Q09400,1,463
15817,Q09410,1,81
15818,Q09417,1378,1470
15819,Q09418,17,99
15820,Q09423,20,156
15821,Q09423,204,331
15822,Q09424,1,95
15823,Q09424,108,366
15824,Q09449,1,79
15825,Q09452,1,77
15826,Q09465,1,274
15827,Q09476,1,104
15828,Q09485,424,499
15829,Q09500,20,113
15830,Q09505,212,292
15831,Q09507,214,294
15832,Q09529,1,137
15833,Q09530,1,75
15834,Q09541,1214,1374
15835,Q09553,1,228
15836,Q09555,65,145
15837,Q09560,1,104
15838,Q09560,204,326
15839,Q09560,339,513
15840,Q09560,532,964
15841,Q09564,129,249
15842,Q09575,1,148
15843,Q09600,896,980
15844,Q09608,10,425
15845,Q09609,30,138
15846,Q09609,157,250
15847,Q09609,261,558
15848,Q09609,634,732
15849,Q09614,53,156
15850,Q09621,1,79
15851,Q09622,27,136
15852,Q09624,1,225
15853,Q09624,500,608
15854,Q09624,706,823
15855,Q09624,913,1039
15856,Q09630,1,81
15857,Q09663,72,335
15858,Q09663,365,461
15859,Q09666,986,1067
15860,Q09666,1265,1448
15861,Q09666,2630,2763
15862,Q09666,3018,3107
15863,Q09666,3940,4023
15864,Q09666,4184,4279
15865,Q09666,4757,4890
15866,Q09688,1,177
15867,Q09690,82,164
15868,Q09690,999,1087
15869,Q09698,527,607
15870,Q09716,1161,1294
15871,Q09719,765,848
15872,Q09742,24,318
15873,Q09744,1,113
15874,Q09747,1,100
15875,Q09750,1,105
15876,Q09750,1244,1406
15877,Q09762,116,220
15878,Q09764,1,167
15879,Q09771,1,87
15880,Q09773,1,81
15881,Q09774,1,80
15882,Q09789,1,115
15883,Q09797,1,236
15884,Q09815,1,219
15885,Q09818,406,489
15886,Q09824,54,153
15887,Q09825,1,82
15888,Q09825,94,174
15889,Q09830,14,179
15890,Q09840,503,581
15891,Q09842,252,407
15892,Q09848,1,259
15893,Q09861,1,116
15894,Q09862,1,179
15895,Q09862,195,339
15896,Q09863,46,156
15897,Q09871,50,302
15898,Q09872,1,817
15899,Q09879,1,119
15900,Q09879,914,1108
15901,Q09886,1,115
15902,Q09890,19,212
15903,Q09891,1,77
15904,Q09891,1319,1402
15905,Q09902,1,85
15906,Q09907,268,355
15907,Q09908,1,217
15908,Q09908,317,459
15909,Q09910,1,108
15910,Q09920,503,622
15911,Q09931,1,83
15912,Q09933,651,796
15913,Q09933,806,882
15914,Q09947,1,125
15915,Q09948,281,542
15916,Q09949,1,129
15917,Q09949,147,223
15918,Q09949,234,417
15919,Q09951,1,169
15920,Q09952,1,104
15921,Q09952,113,222
15922,Q09953,17,96
15923,Q09954,1,105
15924,Q09996,1069,1186
15925,Q09FC8,50,189
15926,Q09FP8,1489,1627
15927,Q09FP8,1884,2052
15928,Q09FP8,2067,2299
15929,Q09JY9,1,79
15930,Q09KQ6,1,251
15931,Q09M02,758,834
15932,Q09MB8,1443,1547
15933,Q09YK4,1579,1660
15934,Q0C899,288,384
15935,Q0C8L8,112,503
15936,Q0C9E8,1,107
15937,Q0C9L5,1,87
15938,Q0C9L5,143,348
15939,Q0CA78,1,76
15940,Q0CA78,85,198
15941,Q0CA78,231,307
15942,Q0CBX9,1,99
15943,Q0CBX9,799,910
15944,Q0CBX9,921,1115
15945,Q0CBX9,1130,1263
15946,Q0CCR9,543,625
15947,Q0CCY1,150,229
15948,Q0CGY7,71,200
15949,Q0CHZ1,19,116
15950,Q0CI35,1,116
15951,Q0CI96,1,111
15952,Q0CIV4,1,113
15953,Q0CJ58,227,321
15954,Q0CJ59,1292,1403
15955,Q0CJP9,742,841
15956,Q0CKB5,477,577
15957,Q0CKU4,1,78
15958,Q0CKU4,601,699
15959,Q0CKU4,1316,1396
15960,Q0CL23,1,78
15961,Q0CL23,939,1103
15962,Q0CL79,461,684
15963,Q0CL79,1196,1306
15964,Q0CLW8,724,828
15965,Q0CNC7,120,274
15966,Q0CNC7,306,386
15967,Q0CNX1,1,85
15968,Q0CP15,1,83
15969,Q0CP15,864,1129
15970,Q0CPK2,447,529
15971,Q0CS60,150,227
15972,Q0CS62,1,89
15973,Q0CS62,339,416
15974,Q0CS64,1370,1507
15975,Q0CT11,467,545
15976,Q0CT11,627,706
15977,Q0CT23,81,249
15978,Q0CT23,260,403
15979,Q0CT23,823,984
15980,Q0CUC1,1,86
15981,Q0CWI2,1012,1100
15982,Q0CY48,544,619
15983,Q0D158,60,342
15984,Q0D1P4,1,113
15985,Q0D1P4,313,459
15986,Q0D1P5,79,327
15987,Q0D2K5,103,195
15988,Q0D622,525,617
15989,Q0D9V6,1,83
15990,Q0DIV0,1,78
15991,Q0DUI8,1,79
15992,Q0DVU4,175,276
15993,Q0DVX2,56,140
15994,Q0DZT4,1,243
15995,Q0E2L3,133,324
15996,Q0E517,1,223
15997,Q0E517,317,1048
15998,Q0E558,1,94
15999,Q0E558,125,228
16000,Q0E559,1,212
16001,Q0E588,1,125
16002,Q0E589,1,90
16003,Q0E589,105,189
16004,Q0E590,1,179
16005,Q0E592,295,494
16006,Q0E592,511,978
16007,Q0E7J7,217,325
16008,Q0GA40,1,117
16009,Q0GK35,117,193
16010,Q0GKD5,1,120
16011,Q0H8C5,1,314
16012,Q0H8X9,1,174
16013,Q0I2W9,1,140
16014,Q0IAI7,1,143
16015,Q0IGK1,22,121
16016,Q0IHH1,1,114
16017,Q0IHI4,239,360
16018,Q0IHV2,1,274
16019,Q0IHY4,37,116
16020,Q0IID7,1,89
16021,Q0IIN9,71,211
16022,Q0IJ08,660,751
16023,Q0IJ20,605,695
16024,Q0IMS9,172,290
16025,Q0INW1,18,130
16026,Q0INW1,171,382
16027,Q0IQN6,317,424
16028,Q0IV63,294,473
16029,Q0IZZ8,831,911
16030,Q0J9V3,63,334
16031,Q0JRK4,540,942
16032,Q0JXE7,265,343
16033,Q0KBK6,1,105
16034,Q0KI50,105,194
16035,Q0KI50,330,436
16036,Q0KI50,459,589
16037,Q0KIC3,319,435
16038,Q0KIC3,815,1317
16039,Q0KK59,1,111
16040,Q0KL00,71,199
16041,Q0KL00,212,315
16042,Q0KL00,400,485
16043,Q0MXD0,1,130
16044,Q0N4U3,1,76
16045,Q0N4U4,1,76
16046,Q0N4U5,1,76
16047,Q0N4U7,1,76
16048,Q0N4U8,1,76
16049,Q0P140,1,79
16050,Q0P3P6,1,537
16051,Q0P4M4,771,967
16052,Q0P823,1,106
16053,Q0P887,249,331
16054,Q0PDK6,757,1111
16055,Q0PDK7,153,479
16056,Q0PDK7,764,1032
16057,Q0PI70,25,314
16058,Q0PI71,1,232
16059,Q0PMG2,1,90
16060,Q0PW25,1,143
16061,Q0PW25,336,445
16062,Q0Q027,1,144
16063,Q0Q4E9,63,227
16064,Q0Q4F0,48,285
16065,Q0Q4F1,1,91
16066,Q0QLF7,88,224
16067,Q0QLF7,413,499
16068,Q0R5R0,1,89
16069,Q0RDB1,1,89
16070,Q0RKW5,84,271
16071,Q0RRW7,166,255
16072,Q0S443,376,450
16073,Q0SMS1,646,724
16074,Q0SNV1,533,611
16075,Q0SWX2,787,918
16076,Q0SYQ7,54,157
16077,Q0T2G1,1,141
16078,Q0T2K1,1,92
16079,Q0T466,35,131
16080,Q0T963,389,604
16081,Q0T963,621,708
16082,Q0T963,732,849
16083,Q0T963,863,960
16084,Q0T963,976,1123
16085,Q0T963,1166,1472
16086,Q0T963,1512,1599
16087,Q0T963,1610,2020
16088,Q0T963,2359,2456
16089,Q0T963,2734,2936
16090,Q0T9M3,518,615
16091,Q0TB41,1,97
16092,Q0TFC2,1,141
16093,Q0TFG0,1,92
16094,Q0TKZ0,1,116
16095,Q0TR53,1,101
16096,Q0U6L1,1,96
16097,Q0U6W8,267,444
16098,Q0U6W8,576,661
16099,Q0U6W8,807,902
16100,Q0U6X2,16,190
16101,Q0U822,602,722
16102,Q0UG82,58,307
16103,Q0UJ42,549,659
16104,Q0UJC3,735,854
16105,Q0UJJ7,1,150
16106,Q0UJJ7,731,812
16107,Q0UJJ7,904,1202
16108,Q0UK54,72,311
16109,Q0UK54,319,427
16110,Q0UMB9,510,588
16111,Q0UVC3,1,131
16112,Q0UWC8,81,181
16113,Q0UY53,95,172
16114,Q0UY53,394,511
16115,Q0UY53,859,954
16116,Q0UZ59,507,597
16117,Q0V147,631,789
16118,Q0V1Z7,82,192
16119,Q0V4Z6,655,833
16120,Q0V6H6,1,123
16121,Q0V6M5,95,185
16122,Q0V6Q4,252,358
16123,Q0V6Q8,1,89
16124,Q0V8H6,1,213
16125,Q0V9S0,1,89
16126,Q0V9S3,26,183
16127,Q0VDD8,1,110
16128,Q0VDD8,124,356
16129,Q0VDD8,372,755
16130,Q0VFA3,113,197
16131,Q0VFX4,87,171
16132,Q0VG73,1,95
16133,Q0VG85,1,81
16134,Q0VG99,287,397
16135,Q0VGT4,105,626
16136,Q0VGT4,639,894
16137,Q0VGW4,728,876
16138,Q0VGY8,78,169
16139,Q0VKZ4,1,430
16140,Q0VZ70,3349,3674
16141,Q0VZ70,3685,3809
16142,Q0W486,1,77
16143,Q0WKV3,1,86
16144,Q0WLC6,68,143
16145,Q0WLC6,192,402
16146,Q0WLC6,889,1089
16147,Q0WN69,53,382
16148,Q0WNP3,1,81
16149,Q0WP85,1,89
16150,Q0WPW5,364,448
16151,Q0WPX9,1,99
16152,Q0WQF7,1,83
16153,Q0WQJ7,909,1039
16154,Q0WRU9,291,405
16155,Q0WUG6,1,156
16156,Q0WUG6,793,967
16157,Q0WVU0,1,86
16158,Q0WWW9,1,84
16159,Q0ZZJ6,1561,1652
16160,Q10004,1,193
16161,Q10006,1,252
16162,Q10012,1,187
16163,Q10018,14,110
16164,Q10023,232,388
16165,Q10024,1,103
16166,Q10025,1,83
16167,Q10033,186,279
16168,Q10034,1,139
16169,Q10035,1,101
16170,Q10035,115,200
16171,Q10037,1,272
16172,Q10059,1733,1841
16173,Q10074,1,140
16174,Q10095,1,131
16175,Q10098,1,227
16176,Q10105,1,134
16177,Q10107,1,140
16178,Q10108,1,128
16179,Q10108,178,312
16180,Q10112,1,114
16181,Q10115,1,141
16182,Q10115,271,373
16183,Q10116,1,129
16184,Q10116,213,324
16185,Q10122,1,111
16186,Q10122,467,551
16187,Q10123,270,439
16188,Q10124,131,261
16189,Q10124,297,461
16190,Q10125,56,135
16191,Q10125,476,605
16192,Q10140,1,128
16193,Q10152,31,146
16194,Q10165,1,188
16195,Q10187,43,137
16196,Q10193,166,275
16197,Q10195,94,178
16198,Q10203,1,88
16199,Q10204,15,250
16200,Q10207,1,114
16201,Q10207,381,584
16202,Q10219,1,101
16203,Q10221,1,149
16204,Q10221,193,300
16205,Q10223,1,134
16206,Q10223,251,431
16207,Q10234,60,232
16208,Q10237,186,266
16209,Q10240,1,223
16210,Q10241,1,121
16211,Q10247,157,270
16212,Q10250,1,129
16213,Q10260,287,370
16214,Q10261,15,101
16215,Q10262,50,131
16216,Q10263,84,176
16217,Q10264,1,105
16218,Q10273,1,135
16219,Q10274,243,345
16220,Q10277,220,312
16221,Q10283,1,180
16222,Q10292,1,79
16223,Q10300,1,93
16224,Q10302,83,646
16225,Q10308,1,269
16226,Q10310,1,95
16227,Q10310,193,367
16228,Q10310,380,515
16229,Q10324,192,394
16230,Q10324,420,519
16231,Q10326,609,690
16232,Q10327,721,851
16233,Q10328,1,138
16234,Q10328,812,942
16235,Q10336,242,327
16236,Q10338,1,583
16237,Q10340,1,257
16238,Q10340,278,515
16239,Q10351,1,78
16240,Q10364,1,113
16241,Q10369,508,613
16242,Q10407,50,126
16243,Q10411,1853,1957
16244,Q10416,1,129
16245,Q10432,1,116
16246,Q10432,132,361
16247,Q10432,381,482
16248,Q10432,490,565
16249,Q10432,586,735
16250,Q10435,1,210
16251,Q10435,275,382
16252,Q10436,1,113
16253,Q10443,290,419
16254,Q10447,33,135
16255,Q10451,1,105
16256,Q10451,125,404
16257,Q10451,436,549
16258,Q10451,585,776
16259,Q10475,1,84
16260,Q10475,104,188
16261,Q10477,1,174
16262,Q10486,1,94
16263,Q10493,1,115
16264,Q10496,1,455
16265,Q10497,1,105
16266,Q10573,1,687
16267,Q10573,702,1139
16268,Q10656,965,1040
16269,Q10663,249,384
16270,Q10665,61,406
16271,Q10665,421,754
16272,Q10668,1,348
16273,Q10690,1,200
16274,Q10752,1,110
16275,Q107X0,38,116
16276,Q10906,1,118
16277,Q10912,96,216
16278,Q10914,1,211
16279,Q10918,1,138
16280,Q10918,150,301
16281,Q10919,1,439
16282,Q10921,112,230
16283,Q10925,580,735
16284,Q10925,1028,1136
16285,Q10925,1156,1237
16286,Q10928,1,118
16287,Q10932,1,218
16288,Q10933,1,128
16289,Q10938,1,149
16290,Q10939,92,276
16291,Q10998,1,209
16292,Q10E64,621,735
16293,Q10K98,328,405
16294,Q10MN5,200,321
16295,Q10PQ9,48,126
16296,Q10PV9,1,150
16297,Q10YZ5,1,153
16298,Q11071,1,121
16299,Q11072,1,139
16300,Q11075,1,198
16301,Q11078,14,127
16302,Q11081,37,114
16303,Q11084,1,85
16304,Q11086,1,204
16305,Q11088,1,176
16306,Q11089,1,211
16307,Q11090,1,111
16308,Q11091,1,112
16309,Q11099,17,101
16310,Q11103,1,90
16311,Q11103,103,216
16312,Q11103,295,539
16313,Q11103,554,687
16314,Q11108,1,260
16315,Q11109,1,280
16316,Q11110,1,97
16317,Q11111,1,253
16318,Q11113,26,265
16319,Q11115,1,205
16320,Q11125,136,389
16321,Q11177,665,816
16322,Q11180,597,671
16323,Q11181,1,168
16324,Q11181,178,291
16325,Q11181,313,392
16326,Q11181,468,574
16327,Q11186,481,621
16328,Q11191,1,99
16329,Q11191,119,201
16330,Q11192,1,89
16331,Q11194,1,111
16332,Q11194,122,518
16333,Q11YU5,1023,1118
16334,Q12020,52,392
16335,Q12023,1,107
16336,Q12025,1,126
16337,Q12026,1,108
16338,Q12027,1,379
16339,Q12027,475,606
16340,Q12027,625,708
16341,Q12043,633,749
16342,Q12044,1,139
16343,Q12045,1,119
16344,Q12045,134,349
16345,Q12048,1,94
16346,Q12049,1,75
16347,Q12063,1,80
16348,Q12070,32,107
16349,Q12072,1,564
16350,Q12079,56,277
16351,Q12085,165,400
16352,Q12088,165,400
16353,Q12088,480,638
16354,Q12089,1,220
16355,Q12089,466,606
16356,Q12100,61,208
16357,Q12107,1,81
16358,Q12110,117,351
16359,Q12112,165,457
16360,Q12112,480,638
16361,Q12113,115,367
16362,Q12113,382,576
16363,Q12121,1,116
16364,Q12121,137,215
16365,Q12121,250,338
16366,Q12128,333,409
16367,Q12130,1,139
16368,Q12134,1,243
16369,Q12141,165,400
16370,Q12141,480,638
16371,Q12145,15,159
16372,Q12147,1,103
16373,Q12152,1,152
16374,Q12163,1,102
16375,Q12167,1,79
16376,Q12167,101,365
16377,Q12169,1,82
16378,Q12174,1,109
16379,Q12175,1,78
16380,Q12176,1,83
16381,Q12182,1,319
16382,Q12187,1,109
16383,Q12191,93,227
16384,Q12192,1,90
16385,Q12192,230,310
16386,Q12193,165,400
16387,Q12193,480,638
16388,Q12199,1,81
16389,Q12216,565,726
16390,Q12217,165,400
16391,Q12219,1,294
16392,Q12224,417,537
16393,Q12234,13,87
16394,Q12236,1,111
16395,Q12236,650,980
16396,Q12236,995,1081
16397,Q12240,1,137
16398,Q12243,1,111
16399,Q12260,115,367
16400,Q12262,1,181
16401,Q12264,1,106
16402,Q12266,124,440
16403,Q12269,165,400
16404,Q12269,480,638
16405,Q12273,165,290
16406,Q12273,306,400
16407,Q12273,480,638
16408,Q12274,72,175
16409,Q12275,1,88
16410,Q12275,1516,1648
16411,Q12276,41,137
16412,Q12276,1110,1246
16413,Q12282,1,164
16414,Q12286,26,268
16415,Q12292,1,162
16416,Q12293,115,367
16417,Q12297,95,269
16418,Q12298,416,539
16419,Q12300,1,79
16420,Q12301,41,219
16421,Q12301,233,547
16422,Q12307,1,118
16423,Q12308,1,87
16424,Q12308,351,514
16425,Q12310,1,104
16426,Q12310,173,270
16427,Q12311,606,748
16428,Q12312,1,125
16429,Q12316,165,400
16430,Q12316,480,638
16431,Q12321,155,288
16432,Q12321,423,514
16433,Q12324,1,140
16434,Q12336,1,168
16435,Q12337,115,367
16436,Q12337,382,576
16437,Q12342,81,191
16438,Q12344,1,163
16439,Q12344,177,273
16440,Q12344,752,894
16441,Q12345,75,250
16442,Q12348,32,347
16443,Q12348,544,645
16444,Q12352,1,117
16445,Q12361,835,923
16446,Q12366,1,352
16447,Q12369,1,234
16448,Q12386,115,224
16449,Q12389,882,995
16450,Q12391,165,440
16451,Q12392,115,367
16452,Q12411,159,609
16453,Q12414,165,400
16454,Q12414,480,638
16455,Q12418,1,166
16456,Q12418,290,502
16457,Q12426,1,110
16458,Q12439,115,367
16459,Q12440,1,196
16460,Q12441,165,440
16461,Q12443,237,393
16462,Q12448,1,114
16463,Q12459,379,453
16464,Q12459,465,636
16465,Q12467,1,288
16466,Q12467,303,401
16467,Q12469,184,272
16468,Q12470,165,400
16469,Q12472,115,367
16470,Q12472,382,576
16471,Q12485,165,400
16472,Q12490,124,457
16473,Q12490,480,638
16474,Q12491,115,367
16475,Q12491,382,576
16476,Q12493,30,122
16477,Q12497,1,93
16478,Q12500,664,764
16479,Q12501,115,367
16480,Q12501,382,576
16481,Q12506,23,109
16482,Q12507,1,176
16483,Q12507,190,290
16484,Q12600,1,87
16485,Q12649,1,158
16486,Q12649,180,276
16487,Q12675,94,189
16488,Q12675,1468,1612
16489,Q12744,1,133
16490,Q12748,12,733
16491,Q12756,1060,1149
16492,Q12756,1296,1413
